mol_205111.sdf,56.454369,1.998047,38.664864,15.791457,7,0
mol_39933.sdf,45.465996,0.761942,29.685335,15.018720,7,0
mol_160109.sdf,55.219002,8.755203,32.791969,13.671828,7,0
mol_4mbuA_pocA.sdf,48.194901,2.913142,32.492920,12.788836,7,0
pep_2oeiA_pocB.sdf,140.623489,91.123749,36.247196,13.252551,7,0
mol_6526.sdf,49.440891,4.702378,32.524181,12.214334,7,0
mol_150799.sdf,50.064049,4.548832,35.000278,10.514938,7,0
cpep_AF-A0A418AJE9-F1_127_141.sdf,683.031067,633.235474,35.087959,14.707636,7,0
mol_163260.sdf,47.375629,0.578391,33.226845,13.570394,7,0
mol_283496.sdf,46.360886,0.300604,32.615673,13.444605,7,0
mol_183283.sdf,60.595879,12.010934,34.490841,14.094104,7,0
mol_139490.sdf,47.953220,0.902776,32.779385,14.271061,7,0
mol_103404.sdf,49.773525,1.322954,34.295734,14.154840,7,0
mol_192270.sdf,48.225716,3.216982,31.604401,13.404330,7,0
mol_229837.sdf,50.783257,7.241342,30.140873,13.401042,7,0
cpep_AF-A0A1Z7ZMM0-F1_27_36.sdf,364.020935,313.892822,35.684261,14.443844,7,0
mol_104928.sdf,52.029045,1.631255,35.120277,15.277511,7,0
mol_9982.sdf,44.908855,0.901157,30.339624,13.668074,7,0
pep_7rycO_pocL.sdf,239.898987,190.219482,34.533081,15.146431,7,0
mol_28305.sdf,65.026604,12.985179,35.898491,16.142935,7,0
mol_79039.sdf,59.750362,12.092896,34.801556,12.855912,7,0
mol_134441.sdf,43.898090,0.584322,30.512806,12.800961,7,0
mol_116614.sdf,51.276733,2.069238,35.119186,14.088311,7,0
mol_28060.sdf,49.385307,0.100578,35.959648,13.325080,7,0
mol_68421.sdf,54.751892,5.470672,34.881042,14.400179,7,0
mol_48974.sdf,49.414913,0.762302,35.446171,13.206440,7,0
mol_258879.sdf,51.869041,6.756393,33.303650,11.809000,7,0
mol_284555.sdf,53.646347,6.695404,32.867294,14.083649,7,0
mol_78537.sdf,49.339397,0.385705,35.137058,13.816635,7,0
mol_166774.sdf,48.551109,0.139376,34.452652,13.959082,7,0
mol_180614.sdf,56.217144,4.100572,36.364910,15.751662,7,0
cpep_AF-A0A6A6CHK6-F1_246_259.sdf,211.696564,159.733566,37.239330,14.723662,7,0
mol_29435.sdf,54.370674,2.646757,36.488716,15.235203,7,0
mol_183767.sdf,51.654816,4.487624,32.449196,14.717995,7,0
mol_220371.sdf,47.321747,0.432681,31.957197,14.931871,7,0
mol_46175.sdf,54.269344,5.327530,36.422714,12.519100,7,0
PBmol_5tco.sdf,117.363411,67.811790,35.697330,13.854289,7,0
mol_62514.sdf,56.291149,8.160142,36.985703,11.145307,7,0
mol_156607.sdf,56.133263,2.122988,40.211506,13.798773,7,0
mol_226245.sdf,62.888805,13.461479,34.079128,15.348197,7,0
mol_66210.sdf,51.592316,4.797573,31.860903,14.933839,7,0
mol_64423.sdf,51.678646,0.067072,37.162411,14.449165,7,0
mol_192231.sdf,47.896713,0.089849,34.583084,13.223782,7,0
mol_104281.sdf,46.548279,0.176707,32.584255,13.787313,7,0
mol_214978.sdf,54.231018,5.753642,34.895672,13.581703,7,0
mol_151825.sdf,49.052643,0.082573,35.957630,13.012440,7,0
cpep_AF-A0A3D0SC37-F1_357_370.sdf,244.911728,193.812073,35.419758,15.679908,7,0
mol_33252.sdf,53.959213,5.433845,34.819935,13.705434,7,0
mol_37684.sdf,52.761353,5.188396,33.502590,14.070364,3,0
mol_256335.sdf,48.224205,0.124320,34.328133,13.771749,3,0
mol_262029.sdf,44.591698,1.466543,32.568188,10.556967,3,0
mol_170870.sdf,48.656925,0.072323,34.686691,13.897911,3,0
mol_110705.sdf,56.716194,6.519984,34.342098,15.854112,3,0
mol_257741.sdf,52.778412,0.052738,38.477875,14.247801,3,0
mol_8gy3B_pocB.sdf,114.771477,63.706604,37.556671,13.508204,3,0
mol_133340.sdf,47.877594,0.226666,34.230774,13.420156,3,0
mol_42062.sdf,45.243359,0.166292,31.578983,13.498082,1,0
mol_74814.sdf,54.203899,7.030584,34.167324,13.005993,1,0
mol_256335.sdf,48.609177,0.186911,34.633099,13.789165,3,0
mol_257741.sdf,60.804577,7.522896,38.891850,14.389831,3,0
mol_42062.sdf,49.953869,5.047397,31.476349,13.430122,3,0
mol_133340.sdf,55.188877,8.223201,33.064980,13.900697,3,0
mol_110705.sdf,50.200432,1.596973,34.300785,14.302674,3,0
mol_262029.sdf,46.111931,0.722860,33.919235,11.469831,3,0
mol_8gy3B_pocB.sdf,121.301788,70.807449,36.333588,14.160753,3,0
mol_74814.sdf,50.079693,1.522828,34.411308,14.145556,3,0
mol_170870.sdf,53.353123,5.282266,34.385479,13.685379,1,0
mol_37684.sdf,45.173141,0.216542,31.666811,13.289791,1,0
mol_256335.sdf,48.991104,3.847613,32.241352,12.902136,3,0
mol_8gy3B_pocB.sdf,125.328987,75.297852,36.134151,13.896978,3,0
mol_74814.sdf,56.288544,6.594563,33.481255,16.212725,3,0
mol_257741.sdf,58.738319,7.011425,38.795727,12.931166,3,0
mol_170870.sdf,52.222908,4.386155,33.529961,14.306793,3,0
mol_133340.sdf,56.629219,9.172533,33.099579,14.357109,3,0
mol_37684.sdf,51.690193,4.046969,34.551060,13.092165,3,0
mol_110705.sdf,48.917450,0.614110,33.755260,14.548082,3,0
mol_262029.sdf,44.671738,0.165637,33.187016,11.319086,1,0
mol_42062.sdf,46.289639,3.538313,30.887529,11.863795,1,0
PBmol_4avw.sdf,270.769806,219.871201,36.245640,14.652947,7,0
PBmol_3gz9.sdf,162.889664,113.842270,34.214245,14.833145,7,0
mol_72818.sdf,54.115055,7.061106,33.409569,13.644382,7,0
cpep_AF-A0A2R7KRF7-F1_179_192.sdf,188.924850,137.348160,36.930851,14.645842,7,0
mol_184533.sdf,47.499252,1.182689,33.402405,12.914160,7,0
mol_197758.sdf,57.114902,9.359938,34.377052,13.377910,7,0
mol_43095.sdf,51.596668,1.850591,34.837223,14.908854,7,0
mol_145870.sdf,48.531609,0.077472,35.527905,12.926233,7,0
mol_126562.sdf,47.729401,0.322510,32.756031,14.650861,7,0
mol_238725.sdf,46.694344,1.604127,32.527882,12.562337,7,0
mol_112010.sdf,58.882946,8.804913,37.965397,12.112637,7,0
mol_290295.sdf,55.216545,3.806592,35.426247,15.983707,7,0
mol_233420.sdf,53.870823,6.661359,33.953537,13.255928,7,0
mol_57894.sdf,57.271717,8.832813,33.636158,14.802746,7,0
mol_266643.sdf,52.667717,5.198497,34.704235,12.764982,7,0
cpep_AF-A0A519TNH6-F1_100_113.sdf,331.873962,280.599609,36.390095,14.884251,7,0
pep_7evsA_pocC.sdf,144.428833,94.789833,35.446693,14.192307,7,0
mol_218746.sdf,48.392822,4.099674,31.134674,13.158473,7,0
mol_220387.sdf,49.449665,0.378053,35.714771,13.356842,7,0
mol_166308.sdf,55.060226,5.653691,36.219833,13.186702,7,0
mol_32513.sdf,50.069786,4.563434,32.686241,12.820108,7,0
mol_83693.sdf,50.744946,5.240395,33.765503,11.739049,7,0
mol_300583.sdf,49.055653,1.672970,32.986496,14.396186,7,0
mol_247427.sdf,61.437370,13.054676,32.907841,15.474853,7,0
mol_200234.sdf,48.123398,0.842353,32.806694,14.474350,7,0
mol_89627.sdf,61.089088,10.643913,37.237644,13.207531,7,0
mol_259211.sdf,56.878986,8.695956,35.089447,13.093582,7,0
mol_106467.sdf,49.394081,0.873611,33.604687,14.915781,7,0
mol_172428.sdf,46.523510,0.064361,32.730721,13.728427,7,0
mol_192003.sdf,63.896221,8.605536,41.432327,13.858356,7,0
mol_45963.sdf,49.622948,0.261243,34.674038,14.687670,7,0
mol_140005.sdf,48.603447,0.465995,34.149937,13.987515,7,0
mol_76950.sdf,54.819374,5.407309,35.691853,13.720215,7,0
mol_152568.sdf,49.799049,0.097966,35.422173,14.278913,7,0
mol_141656.sdf,47.838512,1.184893,32.967903,13.685715,7,0
mol_181212.sdf,47.607941,1.037338,32.880016,13.690587,7,0
mol_141843.sdf,47.865765,0.771526,32.537388,14.556849,7,0
mol_5n0cA_pocC.sdf,90.044113,38.197601,37.228443,14.618073,7,0
mol_65593.sdf,53.926346,6.590056,31.302841,16.033445,7,0
mol_209926.sdf,60.812431,10.098966,34.929871,15.783595,7,0
mol_14778.sdf,51.199184,1.506841,37.147064,12.545280,3,0
cpep_AF-R6YW41-F1_177_186.sdf,469.707855,418.682404,36.545090,14.480374,3,0
mol_230446.sdf,48.114685,0.433119,34.052616,13.628948,3,0
mol_262924.sdf,49.887230,0.792583,35.916981,13.177667,3,0
mol_2919.sdf,47.357166,0.793361,31.767694,14.796111,3,0
cpep_AF-A0A193LDK3-F1_639_652.sdf,198.160004,147.379333,36.070244,14.710411,3,0
mol_280971.sdf,50.434006,4.953904,32.711750,12.768353,3,0
mol_86744.sdf,58.020123,8.789307,37.141224,12.089592,3,0
mol_289518.sdf,51.833374,2.059551,33.133408,16.640415,1,0
mol_258112.sdf,51.243534,0.381456,37.161438,13.700641,1,0
mol_262924.sdf,48.951130,0.609084,34.945938,13.396107,3,0
mol_14778.sdf,54.324150,2.365689,37.639839,14.318623,3,0
cpep_AF-A0A193LDK3-F1_639_652.sdf,472.367645,420.273376,36.899143,15.195118,3,0
mol_280971.sdf,50.695717,5.367521,32.593822,12.734374,3,0
mol_2919.sdf,51.011978,5.236343,33.070587,12.705048,3,0
cpep_AF-R6YW41-F1_177_186.sdf,167.781891,118.001556,35.353279,14.427058,3,0
mol_258112.sdf,51.333111,0.305946,37.202469,13.824697,3,0
mol_230446.sdf,48.011856,0.364414,33.545166,14.102274,3,0
mol_86744.sdf,52.440338,5.918039,35.201962,11.320333,1,0
mol_289518.sdf,50.396076,0.135480,33.864048,16.396549,1,0
mol_14778.sdf,55.582329,5.757516,36.639832,13.184983,3,0
mol_289518.sdf,53.438160,4.915222,32.937225,15.585712,3,0
mol_2919.sdf,54.909531,7.386610,33.783169,13.739753,3,0
mol_86744.sdf,52.139553,3.544929,34.744003,13.850619,3,0
cpep_AF-A0A193LDK3-F1_639_652.sdf,248.206131,194.805145,37.278389,16.122608,3,0
mol_230446.sdf,58.955151,7.306050,34.237873,17.411228,3,0
cpep_AF-R6YW41-F1_177_186.sdf,179.424179,128.447357,35.168373,15.808454,3,0
mol_262924.sdf,53.872276,4.262174,35.826809,13.783293,3,0
mol_258112.sdf,55.917999,5.094691,38.433422,12.389886,1,0
mol_280971.sdf,46.528145,2.502544,30.859030,13.166571,1,0
mol_202917.sdf,49.841919,2.897202,34.057602,12.887117,7,0
mol_75504.sdf,49.918663,2.715066,32.525093,14.678503,7,0
mol_208957.sdf,49.804909,0.942425,35.818657,13.043825,7,0
mol_47093.sdf,63.243004,10.395532,36.454601,16.392870,7,0
mol_34672.sdf,51.238304,4.476429,33.625076,13.136798,7,0
mol_1420.sdf,46.475517,0.707362,32.314800,13.453355,7,0
mol_302807.sdf,47.240509,1.201991,32.944111,13.094407,7,0
pep_2ymbD_pocH.sdf,172.067917,119.544113,37.336784,15.187023,7,0
cpep_AF-A0A3M2HEI4-F1_638_647.sdf,262.615784,211.432404,36.547356,14.636015,7,0
mol_54014.sdf,45.191109,0.467371,32.218479,12.505262,7,0
mol_202441.sdf,48.132862,0.929025,33.495583,13.708255,7,0
mol_108610.sdf,47.433060,0.065766,33.757263,13.610030,7,0
cpep_AF-A0A6H2F3S4-F1_220_229.sdf,710.610657,660.405579,36.034035,14.171026,7,0
mol_193715.sdf,48.955299,0.624737,34.572975,13.757586,7,0
mol_70837.sdf,56.952526,4.320982,37.282951,15.348591,7,0
mol_257956.sdf,55.014400,7.403162,33.814560,13.796680,7,0
mol_86495.sdf,48.650291,0.822818,33.967056,13.860415,7,0
mol_8spoM_pocI.sdf,57.085838,6.906809,36.519897,13.659133,7,0
cpep_AF-A0A2A9FJG1-F1_593_605.sdf,395.671997,343.313293,37.036209,15.322498,7,0
mol_24960.sdf,53.246159,4.975143,34.231594,14.039420,7,0
mol_84237.sdf,44.705635,0.846113,30.807251,13.052272,7,0
mol_249839.sdf,49.746147,5.941073,33.560402,10.244673,7,0
mol_240847.sdf,54.021954,6.362344,36.003189,11.656422,7,0
mol_183548.sdf,56.292191,4.536531,38.119537,13.636122,7,0
mol_61150.sdf,48.212578,0.402543,33.445332,14.364702,7,0
mol_3a06B_pocB.sdf,98.720665,47.989487,36.510574,14.220607,7,0
mol_116053.sdf,47.999710,2.628204,31.374657,13.996849,7,0
mol_50374.sdf,58.502510,5.501175,38.670029,14.331306,7,0
mol_178673.sdf,50.500751,1.972347,34.445930,14.082475,7,0
mol_132403.sdf,59.452595,6.578563,38.326691,14.547339,7,0
mol_106031.sdf,54.224777,7.104011,34.428738,12.692028,7,0
mol_260656.sdf,56.480011,6.731793,37.251564,12.496654,7,0
mol_127062.sdf,49.840664,1.273016,34.474384,14.093262,7,0
mol_280768.sdf,48.012077,1.810567,32.722076,13.479433,7,0
mol_141497.sdf,52.615307,0.346479,39.116394,13.152434,7,0
mol_228453.sdf,48.829338,0.243466,34.363785,14.222089,7,0
mol_49583.sdf,43.939648,1.338104,30.150600,12.450944,7,0
mol_230860.sdf,52.755848,2.134934,37.203957,13.416957,7,0
pep_8fa9H_pocP.sdf,231.944580,182.264526,35.097801,14.582240,7,0
PBmol_4hw2.sdf,150.034439,102.533379,33.015213,14.485849,7,0
cpep_AF-A0A539DVM9-F1_38_52.sdf,167.220032,115.748055,35.147408,16.324577,3,0
mol_221941.sdf,57.959763,9.410918,33.613907,14.934936,3,0
mol_22132.sdf,47.455166,0.399598,33.531799,13.523769,3,0
mol_250669.sdf,52.629108,0.379135,38.672512,13.577461,3,0
cpep_AF-R5JA24-F1_555_569.sdf,232.214340,181.258850,35.308376,15.647117,3,0
mol_36805.sdf,50.178246,1.461106,34.153801,14.563340,3,0
pep_3ajbA_pocB.sdf,182.848801,131.525894,36.075684,15.247221,3,0
mol_82285.sdf,55.937572,8.760662,34.709858,12.467052,3,0
mol_120161.sdf,55.989754,5.520772,35.731483,14.737498,1,0
PBmol_4o10.sdf,189.022400,138.379395,36.383942,14.259062,1,0
mol_36805.sdf,50.056664,0.083573,34.972343,15.000750,3,0
mol_120161.sdf,46.322750,0.707882,31.940277,13.674591,3,0
PBmol_4o10.sdf,147.296844,96.209343,35.958527,15.128966,3,0
mol_221941.sdf,58.267742,8.154675,34.598900,15.514169,3,0
mol_250669.sdf,53.440685,0.049884,39.380905,14.009896,3,0
mol_82285.sdf,49.435192,0.915505,34.356735,14.162953,3,0
cpep_AF-A0A539DVM9-F1_38_52.sdf,228.522736,176.957916,35.058460,16.506355,3,0
cpep_AF-R5JA24-F1_555_569.sdf,257.931702,207.985321,34.964310,14.982078,3,0
pep_3ajbA_pocB.sdf,204.122742,152.359924,36.053577,15.709251,1,0
mol_22132.sdf,50.379219,4.303913,33.636532,12.438772,1,0
cpep_AF-A0A539DVM9-F1_38_52.sdf,193.017380,140.535446,36.869877,15.612062,3,0
mol_221941.sdf,58.749378,10.721205,33.541580,14.486590,3,0
mol_250669.sdf,53.611683,0.522784,38.475288,14.613609,3,0
mol_120161.sdf,55.264393,6.155164,36.014069,13.095161,3,0
PBmol_4o10.sdf,151.075867,99.894020,35.804367,15.377480,3,0
mol_36805.sdf,56.295502,5.155443,34.564110,16.575951,3,0
cpep_AF-R5JA24-F1_555_569.sdf,356.987518,307.440643,34.974861,14.572029,3,0
mol_22132.sdf,49.726891,2.438841,34.821453,12.466596,3,0
pep_3ajbA_pocB.sdf,159.468033,109.845085,35.389786,14.233174,1,0
mol_82285.sdf,48.363091,1.170342,33.374249,13.818501,1,0
mol_175787.sdf,51.984402,4.156826,34.911636,12.915939,7,0
mol_174630.sdf,49.728493,0.580597,35.471157,13.676740,7,0
